Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
14948, 1, 0.767676
15010, 1, 0.767676
15011, 1, 0.767676
12167, 0, 0.767654
13403, 0, 0.767654
11193, 0, 0.763074
11511, 0, 0.763074
11512, 0, 0.763074
11513, 0, 0.763074
1749, 1, 0.759620
1750, 1, 0.759620
11196, 1, 0.759620
11197, 1, 0.759620
11877, 1, 0.759620
11878, 1, 0.759620
13154, 1, 0.759620
12094, 0, 0.759598
15054, 0, 0.759598
15055, 0, 0.759598
1519, 0, 0.755018
1520, 0, 0.755018
1521, 0, 0.755018
1522, 0, 0.755018
1731, 0, 0.755018
1732, 0, 0.755018
1733, 0, 0.755018
5148, 0, 0.755018
6482, 1, 0.751563
6483, 1, 0.751563
6849, 1, 0.751563
7477, 1, 0.751563
7478, 1, 0.751563
7479, 1, 0.751563
11172, 0, 0.746961
11173, 0, 0.746961
12111, 0, 0.746961
12112, 0, 0.746961
12113, 0, 0.746961
6500, 1, 0.743507
6870, 1, 0.743507
13140, 1, 0.743507
13141, 1, 0.743507
13142, 1, 0.743507
13991, 1, 0.743507
13992, 1, 0.743507
14944, 1, 0.743507
14945, 1, 0.743507
15037, 0, 0.743485
15038, 0, 0.743485
15039, 0, 0.743485
11837, 0, 0.738905
11838, 0, 0.738905
12969, 0, 0.738905
12970, 0, 0.738905
13445, 0, 0.738905
13446, 0, 0.738905
14976, 0, 0.738905
6850, 1, 0.735450
6851, 1, 0.735450
12196, 1, 0.735450
12197, 1, 0.735450
12198, 1, 0.735450
13155, 1, 0.735450
14930, 1, 0.735450
14931, 1, 0.735450
13837, 0, 0.735428
13838, 0, 0.735428
13903, 0, 0.735428
13904, 0, 0.735428
13965, 0, 0.735428
13966, 0, 0.735428
11915, 0, 0.730848
11916, 0, 0.730848
12653, 0, 0.730848
12654, 0, 0.730848
14974, 0, 0.730848
14975, 0, 0.730848
6852, 1, 0.727394
6853, 1, 0.727394
6854, 1, 0.727394
6855, 1, 0.727394
6868, 1, 0.727394
6869, 1, 0.727394
14949, 1, 0.727394
14950, 1, 0.727394
14951, 1, 0.727394
14998, 1, 0.727394
13361, 0, 0.727372
13890, 0, 0.727372
13891, 0, 0.727372
13892, 0, 0.727372
2515, 0, 0.722792
2516, 0, 0.722792
2517, 0, 0.722792
10746, 0, 0.722792
10747, 0, 0.722792
11917, 0, 0.722792
1734, 1, 0.719337
1735, 1, 0.719337
1736, 1, 0.719337
10891, 1, 0.719337
10892, 1, 0.719337
10894, 1, 0.719337
11827, 1, 0.719337
11828, 1, 0.719337
13121, 1, 0.719337
13122, 1, 0.719337
13123, 1, 0.719337
13349, 0, 0.719315
13350, 0, 0.719315
1762, 0, 0.714735
2386, 0, 0.714735
2387, 0, 0.714735
2388, 0, 0.714735
13431, 1, 0.711281
13432, 1, 0.711281
14912, 1, 0.711281
15078, 1, 0.711281
15079, 1, 0.711281
15080, 1, 0.711281
12106, 0, 0.711259
12107, 0, 0.711259
12164, 0, 0.711259
12165, 0, 0.711259
13359, 0, 0.711259
13362, 0, 0.711259
13382, 0, 0.711259
13967, 0, 0.711259
13968, 0, 0.711259
1763, 0, 0.706679
1764, 0, 0.706679
12150, 0, 0.706679
12151, 0, 0.706679
12649, 0, 0.706679
12650, 0, 0.706679
13776, 0, 0.706679
13777, 0, 0.706679
13778, 0, 0.706679
1558, 1, 0.703225
1559, 1, 0.703225
1560, 1, 0.703225
10893, 1, 0.703225
14913, 1, 0.703225
5140, 0, 0.698622
5141, 0, 0.698622
5142, 0, 0.698622
10888, 0, 0.698622
12699, 0, 0.698622
12700, 0, 0.698622
12701, 0, 0.698622
14532, 0, 0.698622
14533, 0, 0.698622
7374, 1, 0.695168
7375, 1, 0.695168
7376, 1, 0.695168
7534, 1, 0.695168
7535, 1, 0.695168
9988, 1, 0.695168
9989, 1, 0.695168
11879, 1, 0.695168
12680, 1, 0.695168
12681, 1, 0.695168
12682, 1, 0.695168
13158, 1, 0.695168
13159, 1, 0.695168
2990, 0, 0.695146
2991, 0, 0.695146
12669, 0, 0.695146
13384, 0, 0.695146
13401, 0, 0.695146
13402, 0, 0.695146
13956, 0, 0.695146
13957, 0, 0.695146
13958, 0, 0.695146
6843, 0, 0.690566
6844, 0, 0.690566
6845, 0, 0.690566
11518, 0, 0.690566
11519, 0, 0.690566
11919, 0, 0.690566
12693, 0, 0.690566
12694, 0, 0.690566
2391, 1, 0.687112
11880, 1, 0.687112
13152, 1, 0.687112
13153, 1, 0.687112
13429, 1, 0.687112
13430, 1, 0.687112
2992, 0, 0.687090
2993, 0, 0.687090
12667, 0, 0.687090
12668, 0, 0.687090
1555, 0, 0.682509
1556, 0, 0.682509
1557, 0, 0.682509
6840, 0, 0.682509
6841, 0, 0.682509
6842, 0, 0.682509
7401, 0, 0.682509
7528, 0, 0.682509
7529, 0, 0.682509
12651, 0, 0.682509
12652, 0, 0.682509
13086, 0, 0.682509
13087, 0, 0.682509
2389, 1, 0.679055
2390, 1, 0.679055
7524, 1, 0.679055
14935, 1, 0.679055
13383, 0, 0.679033
13395, 0, 0.679033
13396, 0, 0.679033
13397, 0, 0.679033
7399, 0, 0.674453
7400, 0, 0.674453
11918, 0, 0.674453
13112, 0, 0.674453
13113, 0, 0.674453
1565, 1, 0.670999
1566, 1, 0.670999
2895, 1, 0.670999
6818, 1, 0.670999
6819, 1, 0.670999
6820, 1, 0.670999
11424, 1, 0.670999
11425, 1, 0.670999
13939, 1, 0.670999
14939, 1, 0.670999
5106, 0, 0.670977
5107, 0, 0.670977
6760, 0, 0.670977
6761, 0, 0.670977
12152, 0, 0.670977
12153, 0, 0.670977
12154, 0, 0.670977
13357, 0, 0.670977
13358, 0, 0.670977
10889, 0, 0.666397
11523, 0, 0.666397
11920, 0, 0.666397
1564, 1, 0.662942
12216, 1, 0.662942
12217, 1, 0.662942
13136, 1, 0.662942
13137, 1, 0.662942
13937, 1, 0.662942
13938, 1, 0.662942
13983, 1, 0.662942
14934, 1, 0.662942
14938, 1, 0.662942
14996, 1, 0.662942
14997, 1, 0.662942
15059, 1, 0.662942
15060, 1, 0.662942
15061, 1, 0.662942
12670, 0, 0.662920
11643, 0, 0.658340
11644, 0, 0.658340
11645, 0, 0.658340
12695, 0, 0.658340
12696, 0, 0.658340
13089, 0, 0.658340
13439, 0, 0.658340
13440, 0, 0.658340
13441, 0, 0.658340
5166, 1, 0.654886
6484, 1, 0.654886
7532, 1, 0.654886
7533, 1, 0.654886
13138, 1, 0.654886
13139, 1, 0.654886
14891, 1, 0.654886
13492, 0, 0.654864
13905, 0, 0.654864
13906, 0, 0.654864
9963, 0, 0.650284
10882, 0, 0.650284
10883, 0, 0.650284
10884, 0, 0.650284
12705, 0, 0.650284
12706, 0, 0.650284
13447, 0, 0.650284
14986, 0, 0.650284
14987, 0, 0.650284
11524, 1, 0.646829
11525, 1, 0.646829
5105, 0, 0.646807
13360, 0, 0.646807
11533, 0, 0.642227
11534, 0, 0.642227
11535, 0, 0.642227
11660, 0, 0.642227
11661, 0, 0.642227
12211, 0, 0.642227
13088, 0, 0.642227
13090, 0, 0.642227
13091, 0, 0.642227
1771, 1, 0.638773
1772, 1, 0.638773
2896, 1, 0.638773
11422, 1, 0.638773
11423, 1, 0.638773
12977, 1, 0.638773
13134, 1, 0.638773
13135, 1, 0.638773
14890, 1, 0.638773
14957, 1, 0.638773
15006, 1, 0.638773
15007, 1, 0.638773
15008, 1, 0.638773
15009, 1, 0.638773
13497, 0, 0.638751
13973, 0, 0.638751
13974, 0, 0.638751
9962, 0, 0.634171
11517, 0, 0.634171
11520, 0, 0.634171
11521, 0, 0.634171
11522, 0, 0.634171
12210, 0, 0.634171
14572, 0, 0.634171
14573, 0, 0.634171
5161, 1, 0.630716
5162, 1, 0.630716
5163, 1, 0.630716
12978, 1, 0.630716
13129, 1, 0.630716
13691, 1, 0.630716
13692, 1, 0.630716
13981, 1, 0.630716
13982, 1, 0.630716
14911, 1, 0.630716
14956, 1, 0.630716
13865, 0, 0.630694
13866, 0, 0.630694
13867, 0, 0.630694
2403, 0, 0.626114
2404, 0, 0.626114
7531, 0, 0.626114
9990, 0, 0.626114
9991, 0, 0.626114
12174, 0, 0.626114
12175, 0, 0.626114
12176, 0, 0.626114
12707, 0, 0.626114
1541, 1, 0.622660
7522, 1, 0.622660
7523, 1, 0.622660
11909, 1, 0.622660
11910, 1, 0.622660
11911, 1, 0.622660
13127, 1, 0.622660
13128, 1, 0.622660
13931, 1, 0.622660
13932, 1, 0.622660
13933, 1, 0.622660
13329, 0, 0.622638
13330, 0, 0.622638
13331, 0, 0.622638
13885, 0, 0.622638
13886, 0, 0.622638
15015, 0, 0.622638
15016, 0, 0.622638
15017, 0, 0.622638
15028, 0, 0.622638
15029, 0, 0.622638
15030, 0, 0.622638
15031, 0, 0.622638
11874, 0, 0.618058
11899, 0, 0.618058
11900, 0, 0.618058
12208, 0, 0.618058
12209, 0, 0.618058
12983, 0, 0.618058
12984, 0, 0.618058
13094, 0, 0.618058
13095, 0, 0.618058
13114, 0, 0.618058
13115, 0, 0.618058
1539, 1, 0.614603
1540, 1, 0.614603
1765, 1, 0.614603
1766, 1, 0.614603
2897, 1, 0.614603
6846, 1, 0.614603
6847, 1, 0.614603
6848, 1, 0.614603
13693, 1, 0.614603
14954, 1, 0.614603
6784, 0, 0.614581
6785, 0, 0.614581
12102, 0, 0.614581
12103, 0, 0.614581
12104, 0, 0.614581
12105, 0, 0.614581
13345, 0, 0.614581
13346, 0, 0.614581
13495, 0, 0.614581
13496, 0, 0.614581
13498, 0, 0.614581
7530, 0, 0.610001
10890, 0, 0.610001
13795, 0, 0.610001
13796, 0, 0.610001
13797, 0, 0.610001
14574, 0, 0.610001
14575, 0, 0.610001
1743, 1, 0.606547
1744, 1, 0.606547
13156, 1, 0.606547
13157, 1, 0.606547
11876, 0, 0.601945
11901, 0, 0.601945
13420, 0, 0.601945
13421, 0, 0.601945
13422, 0, 0.601945
2615, 1, 0.601923
2616, 1, 0.601923
3117, 1, 0.601923
5420, 1, 0.601923
7027, 1, 0.601923
8865, 1, 0.601923
11558, 1, 0.601923
11559, 1, 0.601923
12930, 1, 0.601923
14672, 1, 0.601923
14673, 1, 0.601923
6486, 3, 0.601832
7026, 3, 0.601832
10754, 3, 0.601832
10755, 3, 0.601832
10756, 3, 0.601832
