Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
18189, 1, 1.011824
18190, 1, 1.011824
23635, 1, 1.011824
23636, 1, 1.011824
19631, 0, 1.011141
19632, 0, 1.011141
19633, 0, 1.011141
25758, 0, 1.011141
8876, 1, 1.000973
12068, 1, 1.000973
12069, 1, 1.000973
18784, 1, 1.000973
18785, 1, 1.000973
18786, 1, 1.000973
20004, 1, 1.000973
20005, 1, 1.000973
22783, 1, 1.000973
22784, 1, 1.000973
22853, 1, 1.000973
26426, 1, 1.000973
26427, 1, 1.000973
26428, 1, 1.000973
7372, 0, 1.000290
19575, 0, 1.000290
19576, 0, 1.000290
19577, 0, 1.000290
25751, 0, 1.000290
11788, 1, 0.990122
11789, 1, 0.990122
22854, 1, 0.990122
23623, 1, 0.990122
23624, 1, 0.990122
23771, 1, 0.990122
23772, 1, 0.990122
25757, 0, 0.989438
18809, 0, 0.985487
18810, 0, 0.985487
8877, 1, 0.979270
19389, 1, 0.979270
19390, 1, 0.979270
19391, 1, 0.979270
22786, 1, 0.979270
23633, 1, 0.979270
23634, 1, 0.979270
7373, 0, 0.978587
11522, 1, 0.968419
11523, 1, 0.968419
11524, 1, 0.968419
14462, 1, 0.968419
14463, 1, 0.968419
20006, 1, 0.968419
20007, 1, 0.968419
12652, 0, 0.967736
12653, 0, 0.967736
12654, 0, 0.967736
19581, 0, 0.967736
19582, 0, 0.967736
19583, 0, 0.967736
23587, 0, 0.963785
25091, 0, 0.963785
25101, 0, 0.963785
25102, 0, 0.963785
8362, 1, 0.957568
8363, 1, 0.957568
8366, 1, 0.957568
8367, 1, 0.957568
8875, 1, 0.957568
12066, 1, 0.957568
12067, 1, 0.957568
14461, 1, 0.957568
23809, 1, 0.957568
23810, 1, 0.957568
11265, 0, 0.956885
11266, 0, 0.956885
11267, 0, 0.956885
23573, 0, 0.956885
23574, 0, 0.956885
23575, 0, 0.956885
26113, 0, 0.952934
26114, 0, 0.952934
3030, 1, 0.946717
3031, 1, 0.946717
8364, 1, 0.946717
8365, 1, 0.946717
19392, 1, 0.946717
22852, 1, 0.946717
24051, 1, 0.946717
24052, 1, 0.946717
22802, 0, 0.942082
22803, 0, 0.942082
22804, 0, 0.942082
23585, 0, 0.942082
23586, 0, 0.942082
23588, 0, 0.942082
3029, 1, 0.935865
8360, 1, 0.935865
8361, 1, 0.935865
11702, 1, 0.935865
11703, 1, 0.935865
11704, 1, 0.935865
18177, 1, 0.935865
18178, 1, 0.935865
18179, 1, 0.935865
18191, 1, 0.935865
18192, 1, 0.935865
19133, 1, 0.935865
19134, 1, 0.935865
19984, 1, 0.935865
19985, 1, 0.935865
20062, 1, 0.935865
20497, 1, 0.935865
23653, 1, 0.935865
23654, 1, 0.935865
19531, 0, 0.935182
19532, 0, 0.935182
19533, 0, 0.935182
19590, 0, 0.935182
20439, 0, 0.935182
20440, 0, 0.935182
20441, 0, 0.935182
20442, 0, 0.935182
20495, 1, 0.925014
20496, 1, 0.925014
23664, 1, 0.925014
23665, 1, 0.925014
23666, 1, 0.925014
23667, 1, 0.925014
23668, 1, 0.925014
23669, 1, 0.925014
22351, 0, 0.924331
22352, 0, 0.924331
22859, 0, 0.924331
22860, 0, 0.924331
16942, 0, 0.920380
16943, 0, 0.920380
22720, 0, 0.920380
25092, 0, 0.920380
3323, 1, 0.914163
3324, 1, 0.914163
3325, 1, 0.914163
19131, 1, 0.914163
19132, 1, 0.914163
22213, 1, 0.914163
22214, 1, 0.914163
23807, 1, 0.914163
23808, 1, 0.914163
24023, 1, 0.914163
24024, 1, 0.914163
26423, 1, 0.914163
26424, 1, 0.914163
26425, 1, 0.914163
19637, 0, 0.913480
19638, 0, 0.913480
20460, 0, 0.913480
8894, 0, 0.909529
8895, 0, 0.909529
18319, 0, 0.909529
18320, 0, 0.909529
18321, 0, 0.909529
18811, 0, 0.909529
22721, 0, 0.909529
2595, 1, 0.903312
2596, 1, 0.903312
18856, 1, 0.903312
18857, 1, 0.903312
18858, 1, 0.903312
19129, 1, 0.903312
19130, 1, 0.903312
19908, 1, 0.903312
20063, 1, 0.903312
20434, 1, 0.903312
22215, 1, 0.903312
23293, 1, 0.903312
23294, 1, 0.903312
24025, 1, 0.903312
24026, 1, 0.903312
24049, 1, 0.903312
24050, 1, 0.903312
19587, 0, 0.902628
19588, 0, 0.902628
8891, 0, 0.898678
8892, 0, 0.898678
8893, 0, 0.898678
8896, 0, 0.898678
22722, 0, 0.898678
20433, 1, 0.892460
23754, 1, 0.892460
23755, 1, 0.892460
23756, 1, 0.892460
19503, 0, 0.891777
19504, 0, 0.891777
19589, 0, 0.891777
20459, 0, 0.891777
23679, 0, 0.891777
23680, 0, 0.891777
23820, 0, 0.887826
23821, 0, 0.887826
23822, 0, 0.887826
26111, 0, 0.887826
26112, 0, 0.887826
4867, 1, 0.881609
4868, 1, 0.881609
18174, 1, 0.881609
18175, 1, 0.881609
18176, 1, 0.881609
20064, 1, 0.881609
20065, 1, 0.881609
20066, 1, 0.881609
20432, 1, 0.881609
3339, 0, 0.880926
3340, 0, 0.880926
18258, 0, 0.880926
18259, 0, 0.880926
23576, 0, 0.880926
23577, 0, 0.880926
23578, 0, 0.880926
3032, 1, 0.870758
3033, 1, 0.870758
18181, 1, 0.870758
18182, 1, 0.870758
20067, 1, 0.870758
22780, 1, 0.870758
22781, 1, 0.870758
22782, 1, 0.870758
23651, 1, 0.870758
23652, 1, 0.870758
19635, 0, 0.870075
19636, 0, 0.870075
22354, 0, 0.870075
23383, 0, 0.870075
25090, 0, 0.866124
6152, 1, 0.859907
6153, 1, 0.859907
20199, 1, 0.859907
20200, 1, 0.859907
20201, 1, 0.859907
23295, 1, 0.859907
23649, 1, 0.859907
19595, 0, 0.859223
19596, 0, 0.859223
22267, 0, 0.859223
22268, 0, 0.859223
22861, 0, 0.859223
22862, 0, 0.859223
22714, 0, 0.855273
22715, 0, 0.855273
22716, 0, 0.855273
3034, 1, 0.849055
3035, 1, 0.849055
12815, 1, 0.849055
12816, 1, 0.849055
23617, 1, 0.849055
23618, 1, 0.849055
23619, 1, 0.849055
23650, 1, 0.849055
20457, 0, 0.848372
20458, 0, 0.848372
22348, 0, 0.848372
23861, 0, 0.848372
23862, 0, 0.848372
23863, 0, 0.848372
2597, 1, 0.838204
12074, 1, 0.838204
12075, 1, 0.838204
18180, 1, 0.838204
20058, 1, 0.838204
20059, 1, 0.838204
20061, 1, 0.838204
20499, 1, 0.838204
20500, 1, 0.838204
25927, 1, 0.838204
22353, 0, 0.837521
23302, 0, 0.837521
23381, 0, 0.837521
23382, 0, 0.837521
20629, 0, 0.833570
23817, 0, 0.833570
23818, 0, 0.833570
23819, 0, 0.833570
2598, 1, 0.827353
6150, 1, 0.827353
6151, 1, 0.827353
8948, 1, 0.827353
8949, 1, 0.827353
8950, 1, 0.827353
19909, 1, 0.827353
20498, 1, 0.827353
22216, 1, 0.827353
22777, 1, 0.827353
22778, 1, 0.827353
22779, 1, 0.827353
25925, 1, 0.827353
25926, 1, 0.827353
23815, 0, 0.826670
23816, 0, 0.826670
25761, 0, 0.826670
25762, 0, 0.826670
20627, 0, 0.822719
20628, 0, 0.822719
9393, 1, 0.816502
9394, 1, 0.816502
18862, 1, 0.816502
